2047	2047	2047	2047
2044	2052	2042	2048
2045	2049	2045	2047
2044	2049	2044	2047
2046	2048	2046	2047
2032	2042	2055	2036
2043	2054	2036	2047
2046	2043	2045	2046
2042	2060	2041	2138
2071	2000	2096	2057
2031	1956	2059	2114
1988	2060	2061	2014
2061	2048	2034	2066
2036	2142	2005	2050
2089	2026	1968	2019
2123	2015	2022	2076
2023	2047	2056	2029
2048	2052	2038	2060
2037	2149	2005	2050
2094	2024	1970	2018
2120	2020	2022	2076
2023	2047	2057	2029
2049	2052	2037	2060
2036	2142	2000	2057
2091	2026	1968	2019
2123	2015	2022	2076
2023	2047	2056	2029
2044	2054	2037	2059
2039	2147	2005	2050
2094	2025	1968	2019
2123	2015	2022	2076
2027	2045	2060	2029
2047	2054	2036	2063
2037	2149	2005	2050
2096	2024	1968	2013
2120	2029	2022	2076
2025	2047	2057	2029
2048	2052	2037	2060
2037	2147	2000	2050
2091	2026	1968	2019
2123	2015	2022	2076
2024	2047	2056	2030
2045	2054	2036	2059
2040	2147	2005	2050
2094	2025	1968	2013
2121	2029	2022	2077
2024	2047	2055	2029
2047	2053	2038	2059
2038	2142	1998	2057
2089	2026	1963	2019
2122	2015	2022	2076
2025	2047	2056	2031
2047	2053	2038	2060
2038	2147	2000	2050
2094	2024	1968	2019
2124	2015	2022	2076
2024	2047	2056	2030
2045	2054	2037	2058
2040	2142	2001	2050
2091	2025	1968	2019
2123	2015	2022	2077
2023	2049	2055	2029
2048	2052	2038	2060
2037	2151	2005	2050
2098	2022	1972	2013
2118	2029	2022	2076
2023	2047	2056	2029
2048	2052	2036	2061
2037	2151	2005	2050
2098	2024	1977	2013
2120	2029	2022	2076
2027	2044	2056	2031
2044	2054	2038	2058
2039	2142	1998	2050
2091	2024	1968	2019
2123	2015	2022	2077
2024	2047	2057	2029
2048	2053	2036	2060
2038	2147	2000	2050
2094	2024	1968	2019
2122	2029	2022	2076
2025	2045	2060	2030
2047	2054	2036	2059
2040	2142	2000	2050
2090	2026	1968	2019
2123	2020	2022	2077
2023	2047	2056	2029
2047	2054	2036	2060
2037	2151	2005	2050
2098	2022	1977	2013
2119	2029	2022	2076
2025	2047	2060	2029
2047	2055	2036	2060
2038	2142	1998	2050
2091	2024	1968	2019
2122	2015	2022	2076
2023	2047	2055	2029
2048	2052	2038	2058
2038	2147	2005	2050
2098	2022	1972	2013
2120	2020	2022	2076
2023	2047	2057	2029
2049	2052	2038	2060
2038	2142	2000	2050
2090	2024	1968	2019
2121	2015	2022	2076
2024	2047	2056	2029
2049	2052	2036	2061
2037	2149	2005	2050
2094	2024	1972	2013
2120	2029	2022	2076
2025	2047	2055	2030
2044	2053	2038	2058
2039	2142	2000	2050
2094	2025	1968	2019
2123	2029	2022	2077
2024	2044	2060	2028
2047	2054	2035	2061
2037	2147	2005	2050
2094	2026	1972	2013
2120	2029	2022	2078
2025	2044	2060	2029
2047	2054	2036	2061
2036	2142	2000	2050
2091	2024	1968	2019
2122	2029	2022	2077
2025	2047	2055	2029
2047	2053	2036	2060
2038	2149	2005	2047
2098	2023	1972	2013
2120	2029	2022	2075
2023	2047	2056	2029
2047	2052	2036	2060
2039	2147	2005	2050
2095	2022	1972	2013
2119	2029	2022	2076
2024	2047	2055	2029
2047	2052	2038	2060
2038	2147	2000	2050
2094	2026	1968	2019
2122	2015	2022	2076
2024	2047	2057	2029
2048	2052	2037	2060
2036	2151	2005	2050
2096	2023	1972	2013
2119	2029	2022	2076
2025	2044	2060	2029
2047	2054	2036	2061
2037	2147	2000	2050
2091	2026	1968	2013
2122	2029	2020	2078
2025	2044	2060	2029
2047	2053	2036	2060
2037	2149	2005	2050
2096	2024	1972	2013
2120	2029	2022	2076
2027	2047	2056	2030
2044	2054	2037	2058
2040	2142	2000	2050
2091	2025	1968	2019
2122	2015	2022	2077
2023	2047	2055	2029
2048	2052	2037	2060
2038	2142	2000	2050
2089	2023	1968	2019
2121	2015	2022	2078
2024	2047	2056	2029
2049	2052	2036	2061
2037	2151	2005	2050
2098	2024	1986	2013
2119	2029	2020	2075
2027	2045	2060	2031
2044	2054	2036	2059
2039	2149	2005	2050
2098	2022	1972	2013
2120	2029	2022	2075
2023	2047	2056	2030
2048	2052	2036	2061
2037	2149	2005	2050
2094	2023	1972	2013
2120	2029	2022	2076
2027	2045	2056	2031
2044	2054	2039	2059
2038	2147	2000	2050
2094	2024	1968	2019
2123	2020	2022	2076
2025	2047	2056	2029
2047	2054	2036	2058
2038	2151	2005	2050
2098	2024	1977	2013
2120	2029	2022	2075
2024	2047	2056	2029
2047	2052	2036	2059
2038	2149	2000	2050
2098	2024	1972	2013
2120	2029	2022	2076
2025	2047	2056	2029
2046	2053	2037	2060
2037	2142	2000	2057
2091	2025	1968	2019
2121	2015	2022	2077
2023	2047	2055	2029
2049	2052	2036	2061
2036	2151	2005	2050
2098	2023	1972	2013
2120	2029	2022	2077
2024	2047	2057	2029
2048	2053	2036	2059
2039	2147	1998	2050
2094	2026	1968	2019
2123	2020	2022	2077
2025	2047	2060	2029
2044	2053	2036	2058
2040	2142	1996	2050
2094	2023	1963	2019
2123	2015	2022	2077
2023	2047	2056	2029
2049	2053	2036	2061
2038	2149	2005	2050
2098	2023	1968	2013
2121	2029	2022	2076
2024	2045	2060	2029
2048	2053	2036	2060
2039	2147	2005	2050
2094	2022	1972	2013
2118	2029	2022	2076
2023	2047	2057	2029
2048	2052	2037	2060
2038	2149	2005	2049
2098	2023	1977	2013
2120	2029	2022	2075
2024	2047	2056	2031
2047	2054	2036	2059
2039	2147	2005	2050
2098	2023	1968	2013
2120	2029	2022	2076
2025	2044	2060	2029
2047	2054	2036	2061
2037	2142	2000	2050
2091	2025	1968	2019
2123	2015	2022	2077
2023	2047	2056	2029
2047	2053	2037	2060
2039	2147	2005	2050
2098	2024	1968	2018
2119	2029	2022	2076
2024	2047	2055	2029
2049	2052	2038	2060
2037	2147	2000	2050
2094	2024	1968	2019
2121	2015	2022	2076
2023	2047	2056	2029
2048	2052	2038	2059
2038	2149	2005	2050
2094	2025	1972	2013
2120	2029	2022	2077
2027	2044	2060	2029
2047	2053	2037	2059
2037	2151	2005	2050
2094	2024	1972	2013
2119	2029	2022	2076
2027	2045	2060	2029
2047	2056	2036	2059
2038	2147	2000	2050
2091	2026	1968	2013
2123	2029	2022	2078
2024	2047	2057	2029
2048	2052	2038	2058
2038	2147	2000	2050
2090	2026	1968	2019
2123	2015	2022	2076
2025	2047	2056	2030
2044	2054	2036	2058
2040	2142	2000	2050
2094	2024	1968	2019
2122	2015	2022	2076
2024	2046	2060	2029
2047	2054	2036	2060
2037	2149	2000	2050
2098	2024	1970	2013
2120	2029	2022	2076
2024	2045	2057	2030
2045	2055	2036	2059
2039	2142	2000	2050
2094	2024	1968	2019
2123	2029	2022	2078
2023	2047	2057	2029
2047	2052	2036	2060
2037	2147	2005	2050
2094	2023	1972	2013
2120	2029	2022	2075
2025	2045	2055	2030
2044	2054	2037	2059
2038	2142	2000	2050
2091	2024	1968	2019
2122	2015	2022	2076
2023	2047	2056	2029
2047	2054	2036	2060
2039	2147	2000	2050
2098	2024	1968	2013
2121	2029	2022	2076
2025	2047	2057	2029
2048	2053	2036	2061
2038	2147	2005	2050
2091	2027	1968	2013
2122	2029	2022	2076
2027	2047	2056	2031
2044	2054	2038	2059
2038	2142	2000	2050
2094	2024	1968	2016
2123	2029	2022	2076
2025	2045	2056	2031
2044	2052	2037	2060
2039	2147	2005	2050
2098	2022	1968	2013
2120	2029	2022	2075
2027	2046	2056	2030
2044	2052	2037	2059
2038	2147	2000	2050
2094	2024	1968	2019
2122	2015	2022	2076
2023	2047	2056	2029
2048	2052	2036	2059
2038	2142	1995	2050
2094	2025	1968	2019
2123	2015	2022	2078
2024	2047	2056	2029
2047	2053	2036	2059
2038	2147	1998	2050
2094	2026	1968	2019
2123	2029	2022	2078
2025	2047	2057	2029
2047	2054	2037	2058
2038	2142	2000	2050
2094	2024	1968	2019
2121	2015	2022	2076
2024	2047	2055	2029
2047	2054	2036	2060
2038	2147	2005	2050
2096	2024	1972	2013
2121	2029	2022	2077
2025	2047	2056	2029
2048	2053	2036	2060
2038	2147	2005	2050
2094	2024	1968	2013
2122	2020	2022	2076
2025	2045	2056	2030
2044	2054	2036	2060
2039	2147	2005	2050
2098	2023	1968	2013
2120	2029	2022	2076
2027	2044	2060	2029
2047	2053	2038	2059
2037	2147	2000	2050
2091	2025	1968	2019
2121	2015	2022	2076
2023	2047	2056	2029
2048	2052	2036	2060
2038	2147	2005	2050
2094	2026	1972	2013
2120	2029	2022	2076
2027	2044	2056	2031
2044	2056	2036	2058
2040	2142	2001	2050
2091	2026	1968	2013
2122	2029	2022	2077
2025	2045	2057	2029
2048	2053	2038	2060
2038	2149	2005	2050
2096	2022	1972	2016
2118	2029	2022	2076
2025	2047	2056	2030
2048	2052	2038	2058
2036	2147	2000	2050
2091	2024	1968	2019
2120	2015	2022	2076
2024	2047	2056	2029
2047	2052	2038	2060
2036	2151	2005	2050
2094	2024	1972	2013
2118	2029	2022	2076
2027	2044	2060	2029
2048	2053	2036	2060
2037	2147	2000	2050
2091	2025	1968	2013
2122	2029	2022	2078
2024	2047	2057	2029
2048	2053	2037	2059
2038	2147	2000	2050
2089	2026	1968	2019
2121	2015	2022	2076
2025	2047	2060	2029
2048	2054	2036	2061
2037	2149	2005	2050
2094	2029	1968	2013
2122	2029	2020	2077
2027	2044	2060	2029
2047	2054	2038	2058
2039	2142	2000	2050
2091	2025	1968	2019
2122	2015	2022	2076
2027	2046	2060	2029
2044	2056	2036	2059
2039	2147	2000	2050
2094	2024	1968	2019
2123	2029	2022	2077
2025	2047	2060	2029
2047	2053	2036	2060
2037	2149	2005	2050
2098	2024	1972	2013
2120	2029	2022	2076
2027	2047	2056	2031
2044	2054	2038	2058
2039	2142	2000	2050
2091	2024	1968	2019
2122	2015	2022	2076
2023	2047	2055	2030
2047	2052	2038	2059
2038	2147	2005	2050
2094	2025	1968	2013
2121	2029	2022	2076
2023	2047	2056	2029
